sid,condition,trial,response
071917_02,pilot13,5,g
071917_02,pilot13,6,r
071917_02,pilot13,7,g
071917_02,pilot13,8,g
071917_02,pilot13,9,g
071917_02,pilot13,10,g
071917_02,pilot13,11,g
071917_02,pilot13,12,g
071917_02,pilot13,13,g
071917_02,pilot13,14,g
071917_02,pilot13,15,g
071917_02,pilot13,16,g
071917_02,pilot13,17,g
071917_02,pilot13,18,g
071917_02,pilot13,19,g
071917_02,pilot13,20,g
071917_02,pilot13,21,r
071917_02,pilot13,22,g
071917_02,pilot13,23,g
071917_02,pilot13,24,r
071917_02,pilot13,25,g
071917_02,pilot13,26,r
071917_02,pilot13,27,g
071917_02,pilot13,28,g
071917_02,pilot13,29,r
071917_02,pilot13,30,g
071917_02,pilot13,31,g
071917_02,pilot13,32,r
071917_02,pilot13,33,r
071917_03,pilot14,1,g
071917_03,pilot14,2,r
071917_03,pilot14,3,g
071917_03,pilot14,4,g
071917_03,pilot14,5,r
071917_03,pilot14,6,r
071917_03,pilot14,7,g
071917_03,pilot14,8,r
071917_03,pilot14,9,g
071917_03,pilot14,10,r
071917_03,pilot14,11,r
071917_03,pilot14,12,r
071917_03,pilot14,13,r
071917_03,pilot14,14,g
071917_03,pilot14,15,r
071917_03,pilot14,16,g
071917_03,pilot14,17,r
071917_03,pilot14,18,g
071917_03,pilot14,19,r
071917_03,pilot14,20,g
071917_03,pilot14,21,r
071917_03,pilot14,22,r
071917_03,pilot14,23,g
071917_03,pilot14,24,g
071917_03,pilot14,25,g
071917_03,pilot14,26,g
071917_03,pilot14,27,g
071917_03,pilot14,28,g
071917_03,pilot14,29,g
071917_03,pilot14,30,g
071917_03,pilot14,31,g
071917_03,pilot14,32,g
071917_03,pilot14,33,r
072017_01,pilot15,1,g
072017_01,pilot15,2,r
072017_01,pilot15,3,r
072017_01,pilot15,4,g
072017_01,pilot15,5,r
072017_01,pilot15,6,g
072017_01,pilot15,7,r
072017_01,pilot15,8,g
072017_01,pilot15,9,g
072017_01,pilot15,10,r
072017_01,pilot15,11,g
072017_01,pilot15,12,g
072017_01,pilot15,13,g
072017_01,pilot15,14,r
072017_01,pilot15,15,g
072017_01,pilot15,16,r
072017_01,pilot15,17,g
072017_01,pilot15,18,r
072017_01,pilot15,19,g
072017_01,pilot15,20,g
072017_01,pilot15,21,r
072017_01,pilot15,22,g
072017_01,pilot15,23,r
072017_01,pilot15,24,r
072017_01,pilot15,25,r
072017_01,pilot15,26,g
072017_01,pilot15,27,g
072017_01,pilot15,28,r
072017_01,pilot15,29,r
072017_01,pilot15,30,g
072017_01,pilot15,31,g
072017_01,pilot15,32,r
072017_01,pilot15,33,r
072017_02,pilot14,1,g
072017_02,pilot14,2,r
072017_02,pilot14,3,r
072017_02,pilot14,4,r
072017_02,pilot14,5,g
072017_02,pilot14,6,r
072017_02,pilot14,7,g
072017_02,pilot14,8,r
072017_02,pilot14,9,g
072017_02,pilot14,10,r
072017_02,pilot14,11,g
072017_02,pilot14,12,g
072017_02,pilot14,13,g
072017_02,pilot14,14,r
072017_02,pilot14,15,g
072017_02,pilot14,16,g
072017_02,pilot14,17,g
072017_02,pilot14,18,g
072017_02,pilot14,19,r
072017_02,pilot14,20,g
072017_02,pilot14,21,r
072017_02,pilot14,22,r
072017_02,pilot14,23,g
072017_02,pilot14,24,g
072017_02,pilot14,25,r
072017_02,pilot14,26,g
072017_02,pilot14,27,g
072017_02,pilot14,28,r
072017_02,pilot14,29,r
072017_02,pilot14,30,g
072017_02,pilot14,31,g
072017_02,pilot14,32,g
072017_02,pilot14,33,r
072017_03,pilot15,1,g
072017_03,pilot15,2,r
072017_03,pilot15,3,g
072017_03,pilot15,4,g
072017_03,pilot15,5,g
072017_03,pilot15,6,r
072017_03,pilot15,7,g
072017_03,pilot15,8,g
072017_03,pilot15,9,r
072017_03,pilot15,10,g
072017_03,pilot15,11,g
072017_03,pilot15,12,g
072017_03,pilot15,13,g
072017_03,pilot15,14,r
072017_03,pilot15,15,g
072017_03,pilot15,16,g
072017_03,pilot15,17,g
072017_03,pilot15,18,g
072017_03,pilot15,19,g
072017_03,pilot15,20,g
072017_03,pilot15,21,r
072017_03,pilot15,22,g
072017_03,pilot15,23,g
072017_03,pilot15,24,g
072017_03,pilot15,25,g
072017_03,pilot15,26,g
072017_03,pilot15,27,g
072017_03,pilot15,28,g
072017_03,pilot15,29,g
072017_03,pilot15,30,r
072017_03,pilot15,31,g
072017_03,pilot15,32,g
072017_03,pilot15,33,g
072017_04,pilot13,1,g
072017_04,pilot13,2,r
072017_04,pilot13,3,g
072017_04,pilot13,4,g
072017_04,pilot13,5,r
072017_04,pilot13,6,g
072017_04,pilot13,7,r
072017_04,pilot13,8,r
072017_04,pilot13,9,r
072017_04,pilot13,10,g
072017_04,pilot13,11,r
072017_04,pilot13,12,r
072017_04,pilot13,13,r
072017_04,pilot13,14,r
072017_04,pilot13,15,g
072017_04,pilot13,16,r
072017_04,pilot13,17,g
072017_04,pilot13,18,r
072017_04,pilot13,19,r
072017_04,pilot13,20,g
072017_04,pilot13,21,r
072017_04,pilot13,22,g
072017_04,pilot13,23,g
072017_04,pilot13,24,g
072017_04,pilot13,25,g
072017_04,pilot13,26,g
072017_04,pilot13,27,g
072017_04,pilot13,28,g
072017_04,pilot13,29,g
072017_04,pilot13,30,g
072017_04,pilot13,31,g
072017_04,pilot13,32,g
072017_04,pilot13,33,g
072517_01,pilot16,1,r
072517_01,pilot16,2,g
072517_01,pilot16,3,r
072517_01,pilot16,4,r
072517_01,pilot16,5,r
072517_01,pilot16,6,g
072517_01,pilot16,7,g
072517_01,pilot16,8,r
072517_01,pilot16,9,g
072517_01,pilot16,10,g
072517_01,pilot16,11,g
072517_01,pilot16,12,g
072517_01,pilot16,13,g
072517_01,pilot16,14,g
072517_01,pilot16,15,g
072517_01,pilot16,16,g
072517_01,pilot16,17,r
072517_01,pilot16,18,g
072517_01,pilot16,19,g
072517_01,pilot16,20,g
072517_01,pilot16,21,g
072517_01,pilot16,22,g
072517_01,pilot16,23,g
072517_01,pilot16,24,r
072517_01,pilot16,25,g
072517_01,pilot16,26,g
072517_01,pilot16,27,g
072517_01,pilot16,28,g
072517_01,pilot16,29,g
072517_01,pilot16,30,g
072517_01,pilot16,31,g
072517_01,pilot16,32,r
072517_01,pilot16,33,g
072517_01,pilot16,34,g
072517_02,pilot18,1,g
072517_02,pilot18,2,r
072517_02,pilot18,3,g
072517_02,pilot18,4,g
072517_02,pilot18,5,g
072517_02,pilot18,6,g
072517_02,pilot18,7,g
072517_02,pilot18,8,g
072517_02,pilot18,9,r
072517_02,pilot18,10,g
072517_02,pilot18,11,g
072517_02,pilot18,12,g
072517_02,pilot18,13,g
072517_02,pilot18,14,g
072517_02,pilot18,15,g
072517_02,pilot18,16,g
072517_02,pilot18,17,g
072517_02,pilot18,18,r
072517_02,pilot18,19,g
072517_02,pilot18,20,g
072517_02,pilot18,21,r
072517_02,pilot18,22,g
072517_02,pilot18,23,r
072517_02,pilot18,24,g
072517_02,pilot18,25,r
072517_02,pilot18,26,g
072517_02,pilot18,27,g
072517_02,pilot18,28,r
072517_02,pilot18,29,g
072517_02,pilot18,30,g
072517_02,pilot18,31,r
072517_02,pilot18,32,g
072517_02,pilot18,33,g
072517_02,pilot18,34,r
080117_01,pilot17,1,g
080117_01,pilot17,2,r
080117_01,pilot17,3,g
080117_01,pilot17,4,g
080117_01,pilot17,5,g
080117_01,pilot17,6,r
080117_01,pilot17,7,g
080117_01,pilot17,8,r
080117_01,pilot17,9,g
080117_01,pilot17,10,g
080117_01,pilot17,11,r
080117_01,pilot17,12,r
080117_01,pilot17,13,g
080117_01,pilot17,14,r
080117_01,pilot17,15,g
080117_01,pilot17,16,g
080117_01,pilot17,17,r
080117_01,pilot17,18,g
080117_01,pilot17,19,g
080117_01,pilot17,20,r
080117_01,pilot17,21,r
080117_01,pilot17,22,g
080117_01,pilot17,23,r
080117_01,pilot17,24,r
080117_01,pilot17,25,r
080117_01,pilot17,26,r
080117_01,pilot17,27,r
080117_01,pilot17,28,r
080117_01,pilot17,29,r
080117_01,pilot17,30,r
080117_01,pilot17,31,r
080117_01,pilot17,32,r
080117_01,pilot17,33,r
080117_01,pilot17,34,r
080117_02,pilot19,1,g
080117_02,pilot19,2,r
080117_02,pilot19,3,r
080117_02,pilot19,4,g
080117_02,pilot19,5,g
080117_02,pilot19,6,r
080117_02,pilot19,7,g
080117_02,pilot19,8,g
080117_02,pilot19,9,r
080117_02,pilot19,10,r
080117_02,pilot19,11,g
080117_02,pilot19,12,g
080117_02,pilot19,13,r
080117_02,pilot19,14,g
080117_02,pilot19,15,r
080117_02,pilot19,16,g
080117_02,pilot19,17,g
080117_02,pilot19,18,r
080117_02,pilot19,19,r
080117_02,pilot19,20,g
080117_02,pilot19,21,r
080117_02,pilot19,22,g
080117_02,pilot19,23,g
080117_02,pilot19,24,r
080117_02,pilot19,25,r
080117_02,pilot19,26,g
080117_02,pilot19,27,g
080117_02,pilot19,28,r
080117_02,pilot19,29,g
080117_02,pilot19,30,r
080117_02,pilot19,31,g
080117_02,pilot19,32,g
080117_02,pilot19,33,g
080117_02,pilot19,34,r
080117_03,pilot16,1,g
080117_03,pilot16,2,r
080117_03,pilot16,3,r
080117_03,pilot16,4,r
080117_03,pilot16,5,r
080117_03,pilot16,6,r
080117_03,pilot16,7,g
080117_03,pilot16,8,r
080117_03,pilot16,9,r
080117_03,pilot16,10,g
080117_03,pilot16,11,r
080117_03,pilot16,12,r
080117_03,pilot16,13,r
080117_03,pilot16,14,r
080117_03,pilot16,15,r
080117_03,pilot16,16,r
080117_03,pilot16,17,r
080117_03,pilot16,18,r
080117_03,pilot16,19,r
080117_03,pilot16,20,r
080117_03,pilot16,21,r
080117_03,pilot16,22,g
080117_03,pilot16,23,g
080117_03,pilot16,24,r
080117_03,pilot16,25,r
080117_03,pilot16,26,r
080117_03,pilot16,27,g
080117_03,pilot16,28,r
080117_03,pilot16,29,r
080117_03,pilot16,30,r
080117_03,pilot16,31,g
080117_03,pilot16,32,r
080117_03,pilot16,33,g
080117_03,pilot16,34,g
080117_04,pilot18,1,g
080117_04,pilot18,2,r
080117_04,pilot18,3,r
080117_04,pilot18,4,r
080117_04,pilot18,5,r
080117_04,pilot18,6,g
080117_04,pilot18,7,g
080117_04,pilot18,8,g
080117_04,pilot18,9,r
080117_04,pilot18,10,g
080117_04,pilot18,11,g
080117_04,pilot18,12,g
080117_04,pilot18,13,r
080117_04,pilot18,14,g
080117_04,pilot18,15,r
080117_04,pilot18,16,g
080117_04,pilot18,17,g
080117_04,pilot18,18,r
080117_04,pilot18,19,g
080117_04,pilot18,20,g
080117_04,pilot18,21,r
080117_04,pilot18,22,g
080117_04,pilot18,23,g
080117_04,pilot18,24,g
080117_04,pilot18,25,g
080117_04,pilot18,26,g
080117_04,pilot18,27,g
080117_04,pilot18,28,r
080117_04,pilot18,29,g
080117_04,pilot18,30,r
080117_04,pilot18,31,r
080117_04,pilot18,32,r
080117_04,pilot18,33,g
080117_04,pilot18,34,r
080117_05,pilot17,1,g
080117_05,pilot17,2,r
080117_05,pilot17,3,r
080117_05,pilot17,4,g
080117_05,pilot17,5,g
080117_05,pilot17,6,r
080117_05,pilot17,7,r
080117_05,pilot17,8,r
080117_05,pilot17,9,r
080117_05,pilot17,10,r
080117_05,pilot17,11,r
080117_05,pilot17,12,r
080117_05,pilot17,13,r
080117_05,pilot17,14,r
080117_05,pilot17,15,g
080117_05,pilot17,16,g
080117_05,pilot17,17,r
080117_05,pilot17,18,r
080117_05,pilot17,19,r
080117_05,pilot17,20,r
080117_05,pilot17,21,r
080117_05,pilot17,22,g
080117_05,pilot17,23,g
080117_05,pilot17,24,r
080117_05,pilot17,25,g
080117_05,pilot17,26,g
080117_05,pilot17,27,g
080117_05,pilot17,28,r
080117_05,pilot17,29,r
080117_05,pilot17,30,r
080117_05,pilot17,31,r
080117_05,pilot17,32,g
080117_05,pilot17,33,g
080117_05,pilot17,34,g
080217_01,pilot19,1,r
080217_01,pilot19,2,g
080217_01,pilot19,3,r
080217_01,pilot19,4,g
080217_01,pilot19,5,g
080217_01,pilot19,6,r
080217_01,pilot19,7,g
080217_01,pilot19,8,g
080217_01,pilot19,9,r
080217_01,pilot19,10,r
080217_01,pilot19,11,g
080217_01,pilot19,12,g
080217_01,pilot19,13,r
080217_01,pilot19,14,g
080217_01,pilot19,15,g
080217_01,pilot19,16,g
080217_01,pilot19,17,g
080217_01,pilot19,18,r
080217_01,pilot19,19,g
080217_01,pilot19,20,r
080217_01,pilot19,21,g
080217_01,pilot19,22,g
080217_01,pilot19,23,g
080217_01,pilot19,24,g
080217_01,pilot19,25,r
080217_01,pilot19,26,g
080217_01,pilot19,27,g
080217_01,pilot19,28,r
080217_01,pilot19,29,g
080217_01,pilot19,30,g
080217_01,pilot19,31,g
080217_01,pilot19,32,g
080217_01,pilot19,33,g
080217_01,pilot19,34,g
080217_02,pilot16,1,g
080217_02,pilot16,2,r
080217_02,pilot16,3,r
080217_02,pilot16,4,r
080217_02,pilot16,5,g
080217_02,pilot16,6,r
080217_02,pilot16,7,g
080217_02,pilot16,8,r
080217_02,pilot16,9,r
080217_02,pilot16,10,r
080217_02,pilot16,11,r
080217_02,pilot16,12,r
080217_02,pilot16,13,r
080217_02,pilot16,14,r
080217_02,pilot16,15,g
080217_02,pilot16,16,r
080217_02,pilot16,17,r
080217_02,pilot16,18,g
080217_02,pilot16,19,r
080217_02,pilot16,20,r
080217_02,pilot16,21,r
080217_02,pilot16,22,g
080217_02,pilot16,23,g
080217_02,pilot16,24,r
080217_02,pilot16,25,g
080217_02,pilot16,26,g
080217_02,pilot16,27,g
080217_02,pilot16,28,g
080217_02,pilot16,29,g
080217_02,pilot16,30,g
080217_02,pilot16,31,g
080217_02,pilot16,32,r
080217_02,pilot16,33,g
080217_02,pilot16,34,g
080817_01,pilot18,1,g
080817_01,pilot18,2,r
080817_01,pilot18,3,r
080817_01,pilot18,4,g
080817_01,pilot18,5,g
080817_01,pilot18,6,r
080817_01,pilot18,7,g
080817_01,pilot18,8,g
080817_01,pilot18,9,r
080817_01,pilot18,10,g
080817_01,pilot18,11,g
080817_01,pilot18,12,r
080817_01,pilot18,13,r
080817_01,pilot18,14,r
080817_01,pilot18,15,r
080817_01,pilot18,16,r
080817_01,pilot18,17,g
080817_01,pilot18,18,r
080817_01,pilot18,19,r
080817_01,pilot18,20,g
080817_01,pilot18,21,g
080817_01,pilot18,22,g
080817_01,pilot18,23,r
080817_01,pilot18,24,r
080817_01,pilot18,25,g
080817_01,pilot18,26,g
080817_01,pilot18,27,g
080817_01,pilot18,28,r
080817_01,pilot18,29,r
080817_01,pilot18,30,r
080817_01,pilot18,31,r
080817_01,pilot18,32,r
080817_01,pilot18,33,g
080817_01,pilot18,34,r
080817_02,pilot17,1,g
080817_02,pilot17,2,r
080817_02,pilot17,3,g
080817_02,pilot17,4,g
080817_02,pilot17,5,r
080817_02,pilot17,6,g
080817_02,pilot17,7,g
080817_02,pilot17,8,r
080817_02,pilot17,9,g
080817_02,pilot17,10,g
080817_02,pilot17,11,r
080817_02,pilot17,12,g
080817_02,pilot17,13,g
080817_02,pilot17,14,r
080817_02,pilot17,15,g
080817_02,pilot17,16,r
080817_02,pilot17,17,r
080817_02,pilot17,18,g
080817_02,pilot17,19,g
080817_02,pilot17,20,r
080817_02,pilot17,21,r
080817_02,pilot17,22,g
080817_02,pilot17,23,g
080817_02,pilot17,24,r
080817_02,pilot17,25,g
080817_02,pilot17,26,g
080817_02,pilot17,27,g
080817_02,pilot17,28,g
080817_02,pilot17,29,g
080817_02,pilot17,30,g
080817_02,pilot17,31,g
080817_02,pilot17,32,g
080817_02,pilot17,33,g
080817_02,pilot17,34,g
080817_03,pilot19,1,g
080817_03,pilot19,2,r
080817_03,pilot19,3,g
080817_03,pilot19,4,g
080817_03,pilot19,5,r
080817_03,pilot19,6,r
080817_03,pilot19,7,g
080817_03,pilot19,8,g
080817_03,pilot19,9,r
080817_03,pilot19,10,r
080817_03,pilot19,11,g
080817_03,pilot19,12,r
080817_03,pilot19,13,r
080817_03,pilot19,14,g
080817_03,pilot19,15,g
080817_03,pilot19,16,g
080817_03,pilot19,17,r
080817_03,pilot19,18,r
080817_03,pilot19,19,g
080817_03,pilot19,20,g
080817_03,pilot19,21,r
080817_03,pilot19,22,g
080817_03,pilot19,23,g
080817_03,pilot19,24,g
080817_03,pilot19,25,g
080817_03,pilot19,26,g
080817_03,pilot19,27,r
080817_03,pilot19,28,r
080817_03,pilot19,29,g
080817_03,pilot19,30,g
080817_03,pilot19,31,g
080817_03,pilot19,32,g
080817_03,pilot19,33,r
080817_03,pilot19,34,g
080817_05,pilot16,1,g
080817_05,pilot16,2,r
080817_05,pilot16,3,g
080817_05,pilot16,4,r
080817_05,pilot16,5,g
080817_05,pilot16,6,r
080817_05,pilot16,7,g
080817_05,pilot16,8,r
080817_05,pilot16,9,g
080817_05,pilot16,10,g
080817_05,pilot16,11,r
080817_05,pilot16,12,g
080817_05,pilot16,13,r
080817_05,pilot16,14,r
080817_05,pilot16,15,r
080817_05,pilot16,16,r
080817_05,pilot16,17,r
080817_05,pilot16,18,r
080817_05,pilot16,19,r
080817_05,pilot16,20,r
080817_05,pilot16,21,g
